Product Name,Price,Original Price,Discount,Rating,Reviews,Features,Page Number
"vivo T5x 5G (Cyber Green, 128 GB)","₹22,999","₹28,999",20% off,4.4,"5,072 Ratings & 344 Reviews",6 GB RAM | 128 GB ROM | 17.17 cm (6.76 inch) Display | 50MP + 2MP | 32MP Front Camera | 7200 mAh Li-ion Battery | Dimensity 7400-Turbo Processor | 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,1
"Ai+ Pulse 2 (Blue, 64 GB)","₹8,999","₹10,999",18% off,4.3,"1,512 Ratings & 98 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB | 17.13 cm (6.745 inch) HD+ Display | 50MP Rear Camera | 8MP Front Camera | 6000 mAh Battery | T7250 Processor | 1 Year Warranty on Handset and 6 Months Warranty on the Inbox Accessories,1
"IQOO Z11x 5G (Prismatic Green, 128 GB)","₹21,645","₹28,999",25% off,4.4,384 Ratings & 31 Reviews,6 GB RAM | 128 GB ROM | 17.02 cm (6.7 inch) Display | 50MP Rear Camera | 7200 mAh Battery | 12 Months Brand Warranty,1
"Ai+ Pulse 2 (Green, 64 GB)","₹8,999","₹10,999",18% off,4.3,"1,512 Ratings & 98 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB | 17.13 cm (6.745 inch) HD+ Display | 50MP Rear Camera | 8MP Front Camera | 6000 mAh Battery | T7250 Processor | 1 Year Warranty on Handset and 6 Months Warranty on the Inbox Accessories,1
"IQOO Z11x 5G (Titan Black, 128 GB)","₹21,972","₹28,999",24% off,4.4,384 Ratings & 31 Reviews,6 GB RAM | 128 GB ROM | 17.02 cm (6.7 inch) Display | 50MP Rear Camera | 7200 mAh Battery | 12 Months Brand Warranty,1
Kechaoda A27,₹899,"₹1,499",40% off,4,"16,828 Ratings & 888 Reviews",32 MB RAM | 32 MB ROM | Expandable Upto 16 GB | 1.68 cm (0.66 inch) QVGA Display | 0MP | 0MP Front Camera | 800 mAh Battery | NA Processor | 3 Months Company Warranty,1
HOTLINE TIGER,₹599,₹999,40% off,3.5,54 Ratings & 1 Reviews,32 MB RAM | 32 MB ROM | 4.5 cm (1.77 inch) Display | 1.3MP Rear Camera | 2500 mAh Battery | NA,1
"Nokia 105 Classic Single Sim Keypad Phone, Without Charger","₹1,042","₹1,349",22% off,4,"14,423 Ratings & 591 Reviews",32 MB RAM | 32 MB ROM | 4.5 cm (1.77 inch) Display | 0MP Front Camera | 800 mAh Battery | SC6531E Processor | 1 Month Company Domestic Warranty by Company Authorized Service Center.,1
"Ai+ Pulse 1 (Blue, 64 GB)","₹7,999",,,4.2,"42,010 Ratings & 2,778 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB | 17.13 cm (6.745 inch) HD+ Display | 50MP Rear Camera | 5MP Front Camera | 5000 mAh Battery | T615 Processor | 1 Year Warranty on Handset and 6 Months Warranty on the Inbox Accessories,1
"Ai+ Pulse 2 (Purple, 64 GB)","₹8,999","₹10,999",18% off,4.3,"1,512 Ratings & 98 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB | 17.13 cm (6.745 inch) HD+ Display | 50MP Rear Camera | 8MP Front Camera | 6000 mAh Battery | T7250 Processor | 1 Year Warranty on Handset and 6 Months Warranty on the Inbox Accessories,1
"MOTOROLA g06 power (Pantone tapestry, 64 GB)","₹9,999",,,4.2,"15,153 Ratings & 894 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB | 17.48 cm (6.88 inch) HD+ Display | 50MP Rear Camera | 8MP Front Camera | 7000 mAh Battery | Helio G81 Processor | 1 Year Warranty on Handset and 6 Months Warranty on Accessories,1
Jmax MINI,₹777,"₹1,499",48% off,3.7,262 Ratings & 8 Reviews,32 MB RAM | 32 MB ROM | 2.54 cm (1 inch) Display | 1MP Rear Camera | 800 mAh Battery | 1 Year Manufacturer Warranty,1
